licence_number,expiry_date,services,subtype,name,secondary_name,location,address,street_address,city,postal_code,business_phone,business_fax
X026536,2024-05-18,"['trading', 'rental']",Brokerage,Allie Lau Realty Ltd.,Allie Lau Realty Ltd.,Vancouver,"Suite 204, Conference Plaza, 515 West Pender Street, Vancouver",Suite 204, Conference Plaza,V6B 6H5,(604) 689-8222,(604) 689-8211
X031418,2024-12-11,"['trading', 'rental']",Brokerage,Allodium Realty Advisors (2014) Inc.,Allodium Realty Advisors (2014) Inc.,West Vancouver,"4922 The Dale, West Vancouver",4922 The Dale, West Vancouver,V7W 1K3,(604) 340-2676,
X035471,2024-06-24,['rental'],Brokerage,Alora Management Ltd.,Alora Management Ltd.,Vancouver,"204-515 Pender Street, Vancouver",204-515 Pender Street, Vancouver,V6B 6H5,(236) 333-8888,(604) 738-2226
X029791,2024-08-10,"['trading', 'rental', 'strata']",Brokerage,ALS Property Management Ltd.,ALS Property Management Ltd.,,"620 - 329 North Rd, Coquitlam, BC, V3K 3V8",620 - 329 North Rd, Coquitlam,V3K 3V8,(604) 862-2486,(604) 568-3757
X035246,2026-01-01,"['trading', 'rental']",Brokerage,Alwynds Real Estate Services,Alwynds Property Management & Real Estate Services Ltd.,Vancouver,"600 - 1285 West Broadway, Vancouver",600 - 1285 West Broadway, Vancouver,V6H 3X8,(604) 259-6959,
REX603520,2025-06-22,"['trading', 'rental']",Brokerage,AMA Property Group Ltd.,AMA Property Group Ltd.,Vancouver,"106-8898 Heather St, Vancouver",106-8898 Heather St, Vancouver,V6P 3S8,(604) 910-5180,
X028923,2025-01-01,['rental'],Brokerage,Amacon Property Management Services Inc.,Amacon Property Management Services Inc.,Vancouver,"500-856 Homer Street, Vancouver",500-856 Homer Street, Vancouver,V6B 2W6,(604) 602-7700,(604) 602-7110
X027796,2025-02-25,"['trading', 'rental']",Brokerage,Amacon Realty Ltd.,Amacon Realty Ltd.,Vancouver,"500 - 856 Homer Street, Vancouver",500 - 856 Homer Street, Vancouver,V6B 2W5,(604) 602-7700,(604) 602-7110
X035589,2024-09-21,['rental'],Brokerage,Ambiance Property Management Inc.,Ambiance Property Management Inc.,Surrey,"200- 7404 King George Blvd, Surrey",200- 7404 King George Blvd, Surrey,V3W 1N6,(604) 366-4959,
X024522,2024-12-06,"['trading', 'rental']",Brokerage,Amex Broadway West Realty,Broadway West Realty Ltd.,Vancouver,"201 - 1055 West Broadway, Vancouver",201 - 1055 West Broadway, Vancouver,V6H 1E2,(604) 738-8878,(604) 738-7798
X024387,2024-11-22,"['trading', 'rental']",Brokerage,Amex-Fraseridge Realty,Fraseridge Realty Ltd.,Vancouver,"7505 Victoria Drive, Vancouver",7505 Victoria Drive, Vancouver,V5P 3Z6,(604) 322-3272,(604) 325-3298
X029240,2025-03-01,"['trading', 'rental', 'strata']",Brokerage,Angel Realty Inc.,Angel Realty Inc.,Burnaby,"900-2025 Willingdon Ave, Burnaby",900-2025 Willingdon Ave, Burnaby,V5C 0J3,(604) 928-2683,(604) 254-3918
X023821,2025-11-19,"['trading', 'rental']",Brokerage,"Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.","Angell, Hasman & Associates (Malcolm Hasman) Realty Ltd.",West Vancouver,"203-1544 Marine Drive, West Vancouver",203-1544 Marine Drive, West Vancouver,V7V 1H8,(604) 921-1188,(604) 921-1199
X022053,2025-07-23,['trading'],Brokerage,"Angell, Hasman & Associates (The Angell Group) Realty Ltd.","Angell, Hasman & Associates (The Angell Group) Realty Ltd.",West Vancouver,"203-1544 Marine Drive, West Vancouver",203-1544 Marine Drive, West Vancouver,V7V 1H8,(604) 921-1188,(604) 921-1199
REX603404,2025-06-14,"['trading', 'rental']",Branch Office,"Angell, Hasman & Associates Realty Ltd.","Angell, Hasman & Associates Realty Ltd.",Port Moody,"2721 Clarke St, Port Moody",2721 Clarke St, Port Moody,V3H 0K7,(604) 816-5769,
REX603536,2025-06-18,"['trading', 'rental']",Branch Office,"Angell, Hasman & Associates Realty Ltd.","Angell, Hasman & Associates Realty Ltd.",Whistler,"20-4314 Main St, Whistler",20-4314 Main St, Whistler,V8E 1A8,(604) 906-0026,
X025171,2024-01-02,"['trading', 'rental']",Brokerage,"Angell, Hasman & Associates Realty Ltd.","Angell, Hasman & Associates Realty Ltd.",West Vancouver,"203-1544 Marine Dr, West Vancouver",203-1544 Marine Dr, West Vancouver,V7V 1H8,(604) 921-1188,(604) 921-1199
X038131,2024-11-18,['trading'],Branch Office,"Angell, Hasman & Associates Realty Ltd.","Angell, Hasman & Associates Realty Ltd.",Kelowna,"529 Bernard Avenue, Kelowna",529 Bernard Avenue, Kelowna,V1Y 6N9,(250) 575-4292,
X026891,2025-07-15,"['trading', 'rental', 'strata']",Brokerage,ANK Properties,A C T Mercantile Corporation,Vancouver,"2209 Broadway W, Vancouver",2209 Broadway W, Vancouver,V6K 2E4,(604) 682-1538,(604) 682-1537
X000155,2025-06-29,"['trading', 'rental']",Brokerage,Anson Realty Ltd.,Anson Realty Ltd.,Vancouver,"3378 Cambie Street, Vancouver",3378 Cambie Street, Vancouver,V5Z 2W5,(604) 876-9222,(604) 876-9225
X027708,2024-09-23,"['trading', 'rental']",Brokerage,Anthem Realty Ltd.,Anthem Realty Ltd.,Vancouver,"Suite 1100- Bentall 4, Box 49200 - 1055 Dunsmuir Street, Vancouver",Suite 1100- Bentall 4, Box 49200 - 1055 Dunsmuir Street,V7X 1K8,(604) 689-3040,
X033525,2025-02-27,"['trading', 'rental', 'strata']",Brokerage,Appelt Management Inc.,Appelt Management Inc.,Kelowna,"218 - 3477 Lakeshore Road, Kelowna",218 - 3477 Lakeshore Road, Kelowna,V1W 0A7,(250) 980-3577,(778) 940-6590
X036764,2025-10-31,"['trading', 'rental', 'strata']",Brokerage,Arbutus Quality Property Management Corp.,Arbutus Quality Property Management Corp.,Victoria,"311-1370 Beach Drive, Victoria",311-1370 Beach Drive, Victoria,V8S 2N6,(250) 580-0101,
X029540,2024-02-18,['trading'],Brokerage,ARC Aurora Brokerage (BC) Inc.,ARC Aurora Brokerage (BC) Inc.,Vancouver,"Bentall 2 - 555 Burrard Street, 3rd Floor, Vancouver",Bentall 2 - 555 Burrard Street, 3rd Floor,V7X 1M8,(604) 315-0585,
X027254,2024-12-15,"['trading', 'rental', 'strata']",Brokerage,Ardent Properties Inc.,Ardent Properties Inc.,Nanaimo,"371 Franklyn Street, Nanaimo",371 Franklyn Street, Nanaimo,V9R 2X5,(250) 753-0881,(250) 753-5451
X034043,2025-10-10,"['trading', 'rental', 'strata']",Branch Office,Ardent Properties Inc.,Ardent Properties Inc.,Ucluelet,"#5 - 1920 Lyche Road, Ucluelet",#5 - 1920 Lyche Road, Ucluelet,V0R 3A0,(250) 824-0859,
X015238,2024-01-23,"['trading', 'rental']",Brokerage,Argus Estates (1983) Ltd.,Argus Estates (1983) Ltd.,New Westminster,"#10 - 825 McBride Boulevard, New Westminster",#10 - 825 McBride Boulevard, New Westminster,V3L 5B5,(604) 524-4948,(604) 524-5158
X012472,2025-11-16,"['trading', 'rental', 'strata']",Brokerage,Ascent Real Estate Management Corporation,Ascent Real Estate Management Corporation,Burnaby,"2176 Willingdon Avenue, Burnaby",2176 Willingdon Avenue, Burnaby,V5C 5Z9,(604) 431-1800,(604) 431-1818
X024988,2025-04-18,"['trading', 'rental']",Brokerage,Asia West Investment Ltd.,Asia West Investment Ltd.,Vancouver,"200 - 1892 West Broadway, Vancouver",200 - 1892 West Broadway, Vancouver,V6J 1Y9,(604) 838-5136,(604) 222-8107
X022021,2024-12-16,"['trading', 'rental']",Brokerage,Asia West Properties Corp.,Asia West Properties Corp.,Vancouver,"200 - 1892 West Broadway, Vancouver",200 - 1892 West Broadway, Vancouver,V6J 1Y9,(604) 365-2822,(604) 222-8107
X034987,2025-03-18,['trading'],Brokerage,Aspac Realty Ltd.,Aspac Realty Ltd.,Vancouver,"1055 West Hastings Street, Suite 1830, Vancouver",1055 West Hastings Street, Suite 1830,V6E 2E9,(604) 669-9328,(604) 669-9382
X027036,2024-05-15,"['rental', 'strata']",Brokerage,Assertive Northwest Property Management Group Inc.,Assertive Northwest Property Management Group Inc.,Burnaby,"3847B Hastings Street, Burnaby",3847B Hastings Street, Burnaby,V5C 2H7,(604) 253-5566,(604) 253-5536
X017722,2025-09-30,"['trading', 'rental', 'strata']",Brokerage,"Associa British Columbia, Inc.","Associa British Columbia, Inc.",Surrey,"1001-7445 132nd Street, Surrey",1001-7445 132nd Street, Surrey,V3W 1J8,(604) 591-6060,(604) 592-3667
X025974,2025-06-17,"['trading', 'rental', 'strata']",Branch Office,"Associa British Columbia, Inc.","Associa British Columbia, Inc.",Vancouver,"355-1385 West 8th Avenue, Vancouver",355-1385 West 8th Avenue, Vancouver,V6H 3V9,(604) 257-0325,
X029038,2024-09-15,"['rental', 'strata']",Branch Office,"Associa British Columbia, Inc.","Associa British Columbia, Inc.",Kelowna,"215-1511 Sutherland Avenue, Kelowna",215-1511 Sutherland Avenue, Kelowna,V1Y 5Y7,(250) 448-0044,(250) 448-0046
X025017,2025-09-27,"['trading', 'rental', 'strata']",Brokerage,Associated Property Management (2001) Ltd.,Associated Property Management (2001) Ltd.,Kelowna,"#1 - 1441 St. Paul Street, Kelowna",#1 - 1441 St. Paul Street, Kelowna,V1Y 2E4,(250) 712-0025,(250) 712-2265
X034794,2024-10-04,"['rental', 'strata']",Branch Office,Associated Property Management (2001) Ltd.,Associated Property Management (2001) Ltd.,Kelowna,"103 - 1553 Harvey Avenue, Kelowna",103 - 1553 Harvey Avenue, Kelowna,V1Y 6G1,(250) 717-5010,
X037988,2024-10-13,"['rental', 'strata']",Branch Office,Associated Property Management (2001) Ltd.,Associated Property Management (2001) Ltd.,Kelowna,"111-1912 Enterprise Way, Kelowna",111-1912 Enterprise Way, Kelowna,V1Y 9S9,(250) 212-1167,
X036527,2025-07-04,['trading'],Brokerage,Astral RE Services Inc.,Astral RE Services Inc.,Vancouver,"408 - 2052 West 41st Avenue, Vancouver",408 - 2052 West 41st Avenue, Vancouver,V6M 1Y8,(236) 317-6668,(778) 737-4036
REX604658,2025-10-17,"['rental', 'strata']",Branch Office,Atira Property Management Inc.,Atira Property Management Inc.,Vancouver,"201-190 Alexander St, Vancouver",201-190 Alexander St, Vancouver,V6A 1B5,(604) 439-8848,
X027745,2024-11-13,"['rental', 'strata']",Brokerage,Atira Property Management Inc.,Atira Property Management Inc.,Vancouver,"405 Powell Street, Vancouver",405 Powell Street, Vancouver,V6A 1G7,(604) 439-8848,(604) 439-8804
X028810,2024-08-21,"['rental', 'strata']",Branch Office,Atira Property Management Inc.,Atira Property Management Inc.,Surrey,"201-2430 King George Boulevard, Surrey",201-2430 King George Boulevard, Surrey,V4P 1H5,(604) 535-8080,(604) 535-1767
X000209,2025-06-29,"['trading', 'rental']",Brokerage,Atlas Realty Ltd.,Atlas Realty Ltd.,Vancouver,"4919 Main Street, Vancouver",4919 Main Street, Vancouver,V5W 2R2,(604) 682-7204,(604) 682-7665
X034594,2024-06-14,"['trading', 'rental', 'strata']",Brokerage,Avesta Strata and Property Management Ltd.,Avesta Strata and Property Management Ltd.,Squamish,"6-40437 Tantalus Road, Squamish",6-40437 Tantalus Road, Squamish,V8B 0L4,(604) 815-4545,
X035830,2025-01-29,"['trading', 'rental']",Brokerage,Avison Young,"Avison Young Commercial Real Estate Services, LP",Vancouver,"2900 - 1055 West Georgia Street, Box 11109, Royal Centre, Vancouver",2900 - 1055 West Georgia Street, Box 11109,V6E 3P3,(604) 687-7331,(604) 687-0031
X035831,2025-01-29,"['trading', 'rental', 'strata']",Brokerage,"Avison Young Real Estate Management Services, LP","Avison Young Real Estate Management Services, LP",Vancouver,"2900 - 1055 West Georgia Street, Box 11109, Royal Centre, Vancouver",2900 - 1055 West Georgia Street, Box 11109,V6E 3P3,(604) 687-7331,(604) 687-0031
X026218,2025-10-31,"['trading', 'rental', 'strata']",Brokerage,AWM - Alliance Real Estate Group Ltd.,AWM - Alliance Real Estate Group Ltd.,Vancouver,"401 - 958 West 8th Avenue, Vancouver",401 - 958 West 8th Avenue, Vancouver,V5Z 1E5,(604) 685-3227,(604) 893-1721
X030171,2025-08-17,"['rental', 'strata']",Branch Office,AWM - Alliance Real Estate Group Ltd.,AWM - Alliance Real Estate Group Ltd.,Surrey,"250-17667 65A Avenue, Surrey",250-17667 65A Avenue, Surrey,V3S 1Z8,(604) 685-3227,(604) 893-1721
X030300,2025-11-21,"['rental', 'strata']",Branch Office,AWM - Alliance Real Estate Group Ltd.,AWM - Alliance Real Estate Group Ltd.,Whistler,"212 - 1200 Alpha Lake Road, Whistler",212 - 1200 Alpha Lake Road, Whistler,V0N 1B1,(604) 935-3227,(604) 893-1721
X038158,2025-03-15,"['trading', 'rental']",Brokerage,Axford Real Estate,Axford Real Estate Inc.,Port Moody,"2326 Clarke Street, Port Moody",2326 Clarke Street, Port Moody,V3H 1Y8,(778) 355-0116,
X030571,2024-07-15,"['trading', 'rental', 'strata']",Brokerage,AXIS Real Estate Solutions Inc.,AXIS Real Estate Solutions Inc.,Surrey,"213-17660 65A Avenue, Surrey",213-17660 65A Avenue, Surrey,V3S 5N4,(778) 574-2869,(778) 574-2859
010920,2025-09-29,"['trading', 'rental', 'strata']",Sole Proprietor,Axis Strata Management,Steve Istvan Kaczur,Delta,"8560-109B Street, Delta",8560-109B Street, Delta,V4C 4H3,(604) 785-6953,(604) 591-9297
X027313,2025-02-23,"['trading', 'rental']",Brokerage,AY Victoria Realty Ltd.,AY Victoria Realty Ltd.,Victoria,"888 View Street, Victoria",888 View Street, Victoria,V8W 1K2,(250) 382-3400,(250) 382-1333
X027009,2024-01-11,['trading'],Brokerage,B.C. Farm & Ranch Realty Corp.,B.C. Farm & Ranch Realty Corp.,Abbotsford,"2014 Whatcom Road, Abbotsford",2014 Whatcom Road, Abbotsford,V3G 1Y9,(604) 852-1180,
X027212,2024-10-16,['trading'],Branch Office,B.C. Farm & Ranch Realty Corp.,B.C. Farm & Ranch Realty Corp.,Salmon Arm,"220 Shuswap Street NE, Salmon Arm",220 Shuswap Street NE, Salmon Arm,Columbia V1E4N2,(888) 852-2474,
004016,2025-06-29,"['trading', 'rental']",Sole Proprietor,B.C. Realty Match,Timothy Leigh Evans,Kelowna,"6-1873 Spall Road, Kelowna",6-1873 Spall Road, Kelowna,V1Y 4R2,(250) 765-9282,(250) 765-3262
REX602771,2025-06-06,"['trading', 'rental']",Brokerage,Babych Group Realty Vancouver Ltd.,Babych Group Realty Vancouver Ltd.,North Vancouver,"1 Lonsdale Ave 201, North Vancouver",1 Lonsdale Ave 201, North Vancouver,V7M 2E4,(604) 837-7677,
X036052,2025-03-11,['trading'],Brokerage,BakerWest,BakerWest Real Estate Incorporated,Vancouver,"980-1500 Georgia St W, Vancouver",980-1500 Georgia St W, Vancouver,V6G 2Z6,(604) 800-2066,
X031169,2024-04-22,['trading'],Brokerage,Bal Realty Services Incorporated,Bal Realty Services Incorporated,Vancouver,"7505 Victoria Drive, Vancouver",7505 Victoria Drive, Vancouver,V5P 3Z6,(604) 763-5333,
X000243,2025-06-29,"['trading', 'rental']",Brokerage,Balfour Properties Ltd.,Balfour Properties Ltd.,Vancouver,"3399 West 4th Avenue, Vancouver",3399 West 4th Avenue, Vancouver,V6R 1N6,(604) 733-8722,(604) 736-9870
163254,2025-01-12,['trading'],Sole Proprietor,Banian Realty,Ho Wing Daniel Lui,Richmond,"1006-7333 Murdoch Ave, Richmond",1006-7333 Murdoch Ave, Richmond,V6Y 0J8,,
X037415,2024-04-20,"['trading', 'rental']",Brokerage,Baron Rental Group Ltd.,Baron Rental Group Ltd.,Vancouver,"414-55 Water Street, Vancouver",414-55 Water Street, Vancouver,V6B 1A1,(778) 822-2014,
X010545,2025-01-20,"['trading', 'rental', 'strata']",Brokerage,Bayside Property Services Ltd.,Bayside Property Services Ltd.,Burnaby,"#100 - 6400 Roberts Street, Burnaby",#100 - 6400 Roberts Street, Burnaby,V5G 4C9,(604) 432-7774,(604) 430-2698
